dataset, current .out size, last modified, batch job ID, start date
0, 48M, Apr 20 15:36,516439, 2022-04-19
2, 49M, Apr 20 15:36,516439, 2022-04-19
3, 47M, Apr 20 15:36,516439, 2022-04-19
5, 48M, Apr 20 15:34,516439, 2022-04-19
8, 48M, Apr 20 15:36,516439, 2022-04-19
9, 47M, Apr 20 15:36,516439, 2022-04-19
11, 45M, Apr 20 15:36,516439, 2022-04-19
13, 45M, Apr 20 15:36,516439, 2022-04-19
14, 43M, Apr 20 15:36,516453, 2022-04-19
15, 47M, Apr 20 15:36,516453, 2022-04-19
16, 46M, Apr 20 15:36,516453, 2022-04-19
17, 47M, Apr 20 15:36,516453, 2022-04-19
19, 33M, Apr 20 15:36,516453, 2022-04-19
20, 42M, Apr 20 15:36,516453, 2022-04-19
25, 45M, Apr 20 15:36,516460, 2022-04-19
26, 37M, Apr 20 15:36,516460, 2022-04-19
